TweetId,Text,Username,Language,Hashtags,Cords,ReplyCount,RetweetCount,LikeCount,QuoteCount,Source,Media,Lat,Lon,Hour,Year,Month,MonthName,MonthDay,DayName,Week,Date,Time
1630601500392144902,"Cross River State
Rivers State
Nassarawa State
Jigawa State (corrected)*

#ATR #ATechRadio #NigeriaDecides2023 #INEC #ElectionResults https://t.co/18tg3geID9",africatechradio,en,"['ATR', 'ATechRadio', 'NigeriaDecides2023', 'INEC', 'ElectionResults']","Coordinates(longitude=2.7063037, latitude=6.3703877)",1,0,0,0,Twitter for iPhone,"[Photo(previewUrl='https://pbs.twimg.com/media/FqEPZ2fXsAEbmMJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEPZ2fXsAEbmMJ?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FqEPZ2gXsAEfI5R?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEPZ2gXsAEfI5R?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FqEPZ2iXgAEAC14?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEPZ2iXgAEAC14?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FqEPZ2fWwAE4Mim?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEPZ2fWwAE4Mim?format=jpg&name=orig', altText=None)]",6.3703877,2.7063037,16,2023,2,February,28,Tuesday,9,2023-02-28,16:11:07
1630601381596782593,"@opebanwo @inecnigeria @PeterObi Non of the result sheets is signed by any party agent, INEC, una weldone oo",AsuquoDavid12,en,,"Coordinates(longitude=3.2131467, latitude=6.4278856)",0,0,0,0,Twitter for Android,,6.4278856,3.2131467,16,2023,2,February,28,Tuesday,9,2023-02-28,16:10:39
1630601238600466432,"I don't care if the ruling APC party losses a stronghold or wins.

INEC should strictly adhere to their proposed mode of operation and be transparent enough.

If there's transparency in the results collation, no sane person will cry wolf.

#electionresults2023",Deochris749,en,['electionresults2023'],"Coordinates(longitude=8.448081, latitude=47.3202171)",0,0,0,0,Twitter for Android,,47.3202171,8.448081,16,2023,2,February,28,Tuesday,9,2023-02-28,16:10:05
1630600929547362304,INEC Should give Nigerian good Results https://t.co/eqFHWsZh48,JuliusTaire,en,,"Coordinates(longitude=2.6953821, latitude=7.0555476)",0,0,0,0,Twitter for Android,"[Photo(previewUrl='https://pbs.twimg.com/media/FqEO5rBX0AQOHfR?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqEO5rBX0AQOHfR?format=jpg&name=orig', altText=None)]",7.0555476,2.6953821,16,2023,2,February,28,Tuesday,9,2023-02-28,16:08:51
1630600894587846659,Independent National Electoral Commission (INEC) REJECT ELECTORAL FRAUD - Sign the Petition! https://t.co/VIiKbDMtzM via @changeorgngppp,my__gee,en,,"Coordinates(longitude=7.0452547, latitude=6.1945496)",0,0,0,0,Twitter for iPhone,,6.1945496,7.0452547,16,2023,2,February,28,Tuesday,9,2023-02-28,16:08:43
1630600792884346885,"@Ybliss_Omooba @graceytheoddity @Emeneks And plus, this election is obviously rigged. the fact social media is a big thing and people made photos and videos of results at PU, but are seeing different from INEC is too alarming.. what’s the point of voting when if it doesn’t count. for better if dem dey appoint president",Henry_Gift,en,,"Coordinates(longitude=36.0599133, latitude=51.620589)",1,0,1,0,Twitter for iPhone,,51.620589,36.0599133,16,2023,2,February,28,Tuesday,9,2023-02-28,16:08:18
1630600601405906947,"I don't care about your biases.

We're all human and we definitely have ours.

I Hava a big problem with you if you are celebrating this rigged results.

INEC should do the right thing by uploading all results to their portal from each PU.

It's that simple

#electionresults2023",Deochris749,en,['electionresults2023'],"Coordinates(longitude=8.554072, latitude=47.4156521)",0,1,5,1,Twitter for Android,,47.4156521,8.554072,16,2023,2,February,28,Tuesday,9,2023-02-28,16:07:33
1630599372277727233,"@Kay_Munachi @SaharaReporters Dtz was Sahara nt inec!... I agreed with u on typographic error bt for real update, check on Inec",bukarAlsadiq8,en,,"Coordinates(longitude=4.1968998, latitude=8.0931478)",0,0,0,0,Twitter for Android,,8.0931478,4.1968998,16,2023,2,February,28,Tuesday,9,2023-02-28,16:02:40
1630599274240126980,"This man has to be the most unreasonable person inside that collation centre. Telling the INEC Chairman to continue with the scam that winning Lagos is enough for LP.
Davido Supreme Court Enugu Northern Ireland LPDP
Kenneth Okonkwo Femi Falana Simple English Ndi Kato Buhari Okowa https://t.co/X1lBw8vJ15",PO_SupportGroup,en,,"Coordinates(longitude=5.5532952, latitude=6.2445092)",0,1,5,0,Twitter for Android,"[Photo(previewUrl='https://pbs.twimg.com/media/FqENZE9WAAApBSF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqENZE9WAAApBSF?format=jpg&name=orig', altText=None)]",6.2445092,5.5532952,16,2023,2,February,28,Tuesday,9,2023-02-28,16:02:16
1630599209660346371,@Naija_PR Inec mood right now,KokoFct,en,,"Coordinates(longitude=7.3045544, latitude=8.961887)",0,0,0,0,Twitter for Android,,8.961887,7.3045544,16,2023,2,February,28,Tuesday,9,2023-02-28,16:02:01
